"Title","Price","ImageURL","URL","Time"
"Mike the Frog Shirt, Orange","$25","http://www.shirts4mike.com/img/shirts/shirt-108.jpg","http://www.shirts4mike.com/shirt.php?id=108","21:02:26"
"Logo Shirt, Teal","$20","http://www.shirts4mike.com/img/shirts/shirt-107.jpg","http://www.shirts4mike.com/shirt.php?id=107","21:02:27"
"Logo Shirt, Gray","$20","http://www.shirts4mike.com/img/shirts/shirt-106.jpg","http://www.shirts4mike.com/shirt.php?id=106","21:02:27"
"Logo Shirt, Red","$18","http://www.shirts4mike.com/img/shirts/shirt-101.jpg","http://www.shirts4mike.com/shirt.php?id=101","21:02:27"
"Mike the Frog Shirt, Yellow","$25","http://www.shirts4mike.com/img/shirts/shirt-105.jpg","http://www.shirts4mike.com/shirt.php?id=105","21:02:27"
"Mike the Frog Shirt, Blue","$20","http://www.shirts4mike.com/img/shirts/shirt-103.jpg","http://www.shirts4mike.com/shirt.php?id=103","21:02:28"
"Logo Shirt, Green","$18","http://www.shirts4mike.com/img/shirts/shirt-104.jpg","http://www.shirts4mike.com/shirt.php?id=104","21:02:29"
"Mike the Frog Shirt, Black","$20","http://www.shirts4mike.com/img/shirts/shirt-102.jpg","http://www.shirts4mike.com/shirt.php?id=102","21:02:29"
